dataset,did_cover_sbr,did_win,final_margin,fold,game_id,home_field___h_consecutive_home,home_field___h_home__close_wr_last_4_games,home_field___h_home__close_wr_last_8_games,home_field___h_home__close_wr_ytd,home_field___h_home__open_wr_last_4_games,home_field___h_home__open_wr_last_8_games,home_field___h_home__open_wr_ytd,home_field___h_home__ovr_wr_last_4_games,home_field___h_home__ovr_wr_last_8_games,home_field___h_home__ovr_wr_ytd,home_field___h_home__pfr_wr_last_4_games,home_field___h_home__pfr_wr_last_8_games,home_field___h_home__pfr_wr_ytd,home_field___h_is_home,home_field___v_consecutive_visitor,home_field___v_is_home,home_field___v_visitor__close_wr_last_4_games,home_field___v_visitor__close_wr_last_8_games,home_field___v_visitor__close_wr_ytd,home_field___v_visitor__open_wr_last_4_games,home_field___v_visitor__open_wr_last_8_games,home_field___v_visitor__open_wr_ytd,home_field___v_visitor__ovr_wr_last_4_games,home_field___v_visitor__ovr_wr_last_8_games,home_field___v_visitor__ovr_wr_ytd,home_field___v_visitor__pfr_wr_last_4_games,home_field___v_visitor__pfr_wr_last_8_games,home_field___v_visitor__pfr_wr_ytd,label,line___close_ou,line___h_close_line,line___h_ml,line___h_open_line,line___h_pfr_line,line___open_ou,line___pfr_ou,line___v_ml,matchup___h_wr_past_2_seasons,matchup___h_wr_past_3_seasons,matchup___h_wr_past_5_games,matchup___h_wr_ytd,matchup___is_same_conf,matchup___is_same_division,rankings___h__dave_or_wtddvoa,rankings___h__def_rank,rankings___h__defensedvoa,rankings___h__estim_winrate,rankings___h__off_rank,rankings___h__offensedvoa,rankings___h__s_t_dvoa,rankings___h__s_t_rank,rankings___h__totaldvoa,rankings___v__dave_or_wtddvoa,rankings___v__def_rank,rankings___v__defensedvoa,rankings___v__estim_winrate,rankings___v__off_rank,rankings___v__offensedvoa,rankings___v__s_t_dvoa,rankings___v__s_t_rank,rankings___v__totaldvoa,sbr_spread,season,team_history___h_close_wr_past_2_seasons,team_history___h_close_wr_past_3_seasons,team_history___h_close_wr_past_5_games,team_history___h_close_wr_ytd,team_history___h_open_wr_past_2_seasons,team_history___h_open_wr_past_3_seasons,team_history___h_open_wr_past_5_games,team_history___h_open_wr_ytd,team_history___h_ovr_wr_past_2_seasons,team_history___h_ovr_wr_past_3_seasons,team_history___h_ovr_wr_past_5_games,team_history___h_ovr_wr_ytd,team_history___h_pfr_wr_past_2_seasons,team_history___h_pfr_wr_past_3_seasons,team_history___h_pfr_wr_past_5_games,team_history___h_pfr_wr_ytd,team_history___v_close_wr_past_2_seasons,team_history___v_close_wr_past_3_seasons,team_history___v_close_wr_past_5_games,team_history___v_close_wr_ytd,team_history___v_open_wr_past_2_seasons,team_history___v_open_wr_past_3_seasons,team_history___v_open_wr_past_5_games,team_history___v_open_wr_ytd,team_history___v_ovr_wr_past_2_seasons,team_history___v_ovr_wr_past_3_seasons,team_history___v_ovr_wr_past_5_games,team_history___v_ovr_wr_ytd,team_history___v_pfr_wr_past_2_seasons,team_history___v_pfr_wr_past_3_seasons,team_history___v_pfr_wr_past_5_games,team_history___v_pfr_wr_ytd,time_date___day_of_week,time_date___game_time_eastern,time_date___game_time_local,time_date___is_playoffs,time_date___is_sunday,time_date___is_superbowl,time_date___week_id,travel___h_body_clock_from_last_wk,travel___h_days_since_last_game,travel___h_same_stadium_last_game,travel___h_travel_from_last_10_days,travel___h_travel_from_last_game,travel___h_travel_from_last_game_decay,travel___h_tz_change_last_10_days,travel___h_tz_change_last_game,travel___v_body_clock_from_last_wk,travel___v_days_since_last_game,travel___v_dist_from_home,travel___v_home_body_time,travel___v_same_stadium_last_game,travel___v_travel_from_last_10_days,travel___v_travel_from_last_game,travel___v_travel_from_last_game_decay,travel___v_tz_change_last_10_days,travel___v_tz_change_last_game,weather___humidity_pct,weather___is_dome,weather___is_grass,weather___temperature,weather___wind_chill,weather___wind_mph,week_id
training,-1,-1,-28,0.0,200910250cle,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.16666666666666666,0.5,0.5,0.5,1.0,1,0.0,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.6,-28,41.5,9.0,320,6.5,9.0,43.0,41.5,-400,0.5,0.5,0.5,0.5,0.0,0.0,-26.7,27.0,18.3,0.26666666666666666,31.0,-26.1,13.8,1.0,-30.7,19.6,4.0,-15.8,0.82,12.0,13.4,-0.3,15.0,28.9,9.0,2009,0.4545454545454545,0.5789473684210527,0.6,0.5,0.4545454545454545,0.5394736842105263,0.6,0.5,0.2272727272727273,0.3947368421052632,0.2,0.16666666666666666,0.4318181818181818,0.5657894736842105,0.6,0.5,0.5,0.6153846153846154,0.6,0.6,0.5238095238095238,0.6153846153846154,0.6,0.6,0.42857142857142855,0.5897435897435898,0.6,0.6,0.5238095238095238,0.6282051282051282,0.6,0.6,6.0,13.0,13.0,0.0,1.0,0.0,7.0,13.0,7.0,0,1.989209829480024,1.989209829480024,1.989209829480024,0.0,0.0,12.0,7.0,7.032543750791744,12.0,0,7.032543750791744,7.032543750791744,7.032543750791744,1.0,1.0,45.0,1,1,50.0,50.0,12.0,7
training,1,1,14,1.0,200912270cle,1,0.5,0.5,0.5714285714285714,0.5,0.5,0.5714285714285714,0.25,0.16666666666666666,0.21428571428571427,0.5,0.5,0.5714285714285714,1.0,2,0.0,0.75,0.5714285714285714,0.5,0.75,0.5714285714285714,0.5,0.5,0.42857142857142855,0.35714285714285715,0.75,0.5714285714285714,0.5,14,37.0,-3.0,-180,-3.0,-3.0,37.5,37.0,160,0.5,0.0,0.0,0.5,1.0,0.0,-23.2,32.0,21.9,0.3,25.0,-14.8,8.9,1.0,-27.8,-28.8,26.0,10.5,0.2857142857142857,29.0,-21.7,1.2,13.0,-31.1,3.0,2009,0.5,0.5869565217391305,1.0,0.5714285714285714,0.5,0.5543478260869565,1.0,0.5714285714285714,0.2333333333333333,0.3695652173913043,0.4,0.21428571428571427,0.4833333333333333,0.5760869565217391,1.0,0.5714285714285714,0.4666666666666667,0.43478260869565216,0.6,0.5,0.4666666666666667,0.43478260869565216,0.6,0.5,0.3333333333333333,0.3043478260869565,0.6,0.35714285714285715,0.4666666666666667,0.43478260869565216,0.6,0.5,6.0,13.0,13.0,0.0,1.0,0.0,16.0,12.0,7.0,0,13.018451979052664,13.018451979052664,13.018451979052664,1.0,1.0,11.0,7.0,40.674765407657866,10.0,0,23.387046372767983,23.387046372767983,23.387046372767983,2.0,2.0,84.0,1,1,34.0,30.0,6.0,16
training,1,1,20,4.0,201012260kan,1,0.5,0.6666666666666666,0.5714285714285714,0.5,0.6666666666666666,0.5,1.0,1.0,0.6428571428571429,0.5,0.6666666666666666,0.5714285714285714,1.0,1,0.0,0.25,0.5,0.5,0.25,0.5,0.4642857142857143,0.25,0.5,0.42857142857142855,0.25,0.5,0.5,20,42.5,-4.0,-200,-5.0,-4.0,41.5,42.5,170,0.5,0.0,0.0,0.5,1.0,0.0,-5.1,18.0,5.1,0.5357142857142857,11.0,11.0,-2.0,23.0,3.9,8.2,7.0,-6.6,0.5785714285714285,20.0,0.9,4.9,7.0,12.4,4.0,2010,0.5,0.5,0.6,0.5714285714285714,0.4666666666666667,0.4782608695652174,0.6,0.5,0.43333333333333335,0.32608695652173914,0.8,0.6428571428571429,0.5,0.5,0.6,0.5714285714285714,0.43333333333333335,0.5425531914893617,0.4,0.5,0.4666666666666667,0.5425531914893617,0.3,0.4642857142857143,0.4666666666666667,0.5744680851063829,0.2,0.42857142857142855,0.4666666666666667,0.5531914893617021,0.4,0.5,6.0,13.0,12.0,0.0,1.0,0.0,16.0,12.0,7.0,0,4.315388488942803,4.315388488942803,4.315388488942803,0.0,0.0,12.0,7.0,8.233557098848593,12.0,0,8.233557098848593,8.233557098848593,8.233557098848593,0.0,0.0,77.0,1,1,19.0,10.0,7.0,16
training,-1,-1,-6,1.0,201111270sea,1,0.75,0.75,0.65,0.75,0.75,0.65,0.5,0.5,0.4,0.75,0.75,0.65,1.0,1,0.0,0.25,0.4,0.4,0.25,0.4,0.4,0.25,0.2,0.3,0.25,0.4,0.4,-6,37.0,-3.0,-155,-4.5,-3.0,37.5,37.5,135,0.5,0.5,0.5,0.5,1.0,0.0,-11.6,13.0,0.4,0.42,26.0,-13.1,-0.4,19.0,-13.9,-14.0,9.0,-2.3,0.41,27.0,-13.9,0.1,17.0,-11.5,3.0,2011,0.5178571428571429,0.4659090909090909,0.7,0.65,0.5178571428571429,0.4659090909090909,0.7,0.65,0.42857142857142855,0.3863636363636364,0.4,0.4,0.5178571428571429,0.4659090909090909,0.7,0.65,0.5192307692307693,0.4880952380952381,0.2,0.4,0.5384615384615384,0.5119047619047619,0.2,0.4,0.3461538461538461,0.30952380952380953,0.0,0.3,0.5384615384615384,0.5,0.2,0.4,6.0,16.0,13.0,0.0,1.0,0.0,12.0,15.0,7.0,0,33.36909915470449,33.36909915470449,33.36909915470449,-2.0,-2.0,16.0,7.0,46.28967384549171,16.0,0,46.28967384549171,46.28967384549171,46.28967384549171,-3.0,-3.0,0.0,1,0,52.0,52.0,13.0,12
training,1,1,19,3.0,201409140buf,1,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1,0.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,19,43.0,-1.5,-125,-1.0,-1.5,44.5,42.5,105,1.0,0.75,0.6,0.5,1.0,1.0,0.9,17.0,3.5,0.5190258251586375,10.0,17.8,12.9,1.0,27.2,-3.1,9.0,-16.1,0.5294328528952108,14.0,5.3,-0.8,17.0,20.6,1.5,2014,0.5294117647058824,0.4848484848484849,0.6,1.0,0.5,0.4696969696969697,0.6,1.0,0.4117647058823529,0.3939393939393939,0.6,1.0,0.5294117647058824,0.4848484848484849,0.6,1.0,0.5588235294117647,0.5454545454545454,0.6,1.0,0.5294117647058824,0.5303030303030303,0.6,1.0,0.5294117647058824,0.4848484848484849,0.6,1.0,0.5588235294117647,0.5454545454545454,0.6,1.0,6.0,13.0,13.0,0.0,1.0,0.0,2.0,12.0,7.0,0,8.876643452341657,8.876643452341657,8.876643452341657,1.0,1.0,13.0,7.0,16.87850178942728,13.0,0,16.87850178942728,16.87850178942728,16.87850178942728,0.0,0.0,56.0,1,0,58.0,58.0,4.0,2
training,1,1,5,4.0,201509200cin,1,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1,0.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,5,48.0,-3.0,-180,-3.5,-3.0,45.5,47.0,160,0.5,0.5,0.6,0.5,1.0,0.0,11.3,7.0,-24.3,0.5190258251586375,6.0,38.6,-4.6,22.0,58.3,7.2,9.0,-16.1,0.5294328528952108,11.0,17.6,-10.3,25.0,23.4,3.0,2015,0.5277777777777778,0.5714285714285714,0.6,1.0,0.4722222222222222,0.5714285714285714,0.6,1.0,0.6388888888888888,0.6428571428571429,0.6,1.0,0.5277777777777778,0.5714285714285714,0.6,1.0,0.4705882352941176,0.5571428571428572,0.4,1.0,0.4705882352941176,0.5571428571428572,0.4,1.0,0.5882352941176471,0.5714285714285714,0.4,1.0,0.4705882352941176,0.5571428571428572,0.4,1.0,6.0,13.0,13.0,0.0,1.0,0.0,2.0,10.0,7.0,0,37.708495036032666,37.708495036032666,37.708495036032666,3.0,3.0,10.0,7.0,33.20880736186109,10.0,0,33.20880736186109,33.20880736186109,33.20880736186109,3.0,3.0,47.0,1,0,69.0,69.0,6.0,2
training,1,1,10,0.0,201510250kan,1,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,1.0,1,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.75,10,41.5,-3.5,-195,-2.5,-3.0,44.0,43.0,170,0.0,0.0,0.25,0.5,1.0,0.0,-2.5,24.0,7.3,0.3666666666666667,13.0,-0.6,3.6,5.0,-4.3,17.4,14.0,-0.4,0.6666666666666666,5.0,19.8,0.7,16.0,20.9,3.5,2015,0.5227272727272727,0.5256410256410257,0.0,0.16666666666666666,0.5227272727272727,0.5641025641025641,0.0,0.16666666666666666,0.4545454545454545,0.5384615384615384,0.0,0.16666666666666666,0.5227272727272727,0.5256410256410257,0.0,0.16666666666666666,0.6086956521739131,0.5897435897435898,0.9,0.8333333333333334,0.5652173913043478,0.5641025641025641,0.8,0.6666666666666666,0.6521739130434783,0.5897435897435898,0.8,0.6666666666666666,0.5869565217391305,0.5769230769230769,0.8,0.75,6.0,13.0,12.0,0.0,1.0,0.0,7.0,12.0,7.0,0,6.059326446413008,6.059326446413008,6.059326446413008,0.0,0.0,13.0,7.0,14.53542393919076,13.0,0,14.53542393919076,14.53542393919076,14.53542393919076,-1.0,-1.0,57.0,1,1,58.0,58.0,7.0,7
training,1,1,6,1.0,201511190jax,1,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.5,1.0,1,0.0,0.5,0.5,0.4444444444444444,0.5,0.5,0.5555555555555556,0.5,0.5,0.2222222222222222,0.5,0.5,0.5,6,42.0,-2.5,-145,-3.0,-2.5,44.0,43.0,125,0.5,0.5,0.4,0.5,1.0,1.0,-13.8,18.0,2.5,0.4111111111111112,21.0,-5.1,-5.5,30.0,-13.1,-18.4,13.0,-2.0,0.43333333333333335,29.0,-16.4,-2.5,24.0,-16.9,2.5,2015,0.46,0.4146341463414634,0.6,0.5555555555555556,0.48,0.4390243902439024,0.6,0.5555555555555556,0.24,0.24390243902439024,0.4,0.3333333333333333,0.46,0.4146341463414634,0.6,0.5555555555555556,0.3,0.3780487804878049,0.4,0.4444444444444444,0.32,0.3780487804878049,0.4,0.5555555555555556,0.16,0.2682926829268293,0.2,0.2222222222222222,0.3,0.3780487804878049,0.4,0.5,3.0,20.0,20.0,0.0,0.0,0.0,11.0,20.0,4.0,0,10.262776284578157,10.262776284578157,10.262776284578157,0.0,0.0,19.0,4.0,7.777636709316006,19.0,0,7.777636709316006,7.777636709316006,7.777636709316006,1.0,1.0,90.0,1,1,75.0,75.0,5.0,11
training,-1,-1,-3,2.0,200709090jax,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-3,39.5,-7.5,-350,-6.5,-7.0,37.5,38.0,290,0.5,0.5,0.5,0.5,1.0,1.0,0.5583272990586526,16.55503258508327,1.1731354091238233,0.5190258251586375,16.30955829109341,1.3056480811006512,-0.05716871832005794,16.484069514844315,0.07465604634322998,1.3540188269370024,16.03874004344678,0.32541636495293264,0.5294328528952108,16.07313540912382,1.7395365677045609,0.08030412744388128,16.32440260680666,1.493229543808834,7.5,2007,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,6.0,13.0,13.0,0.0,1.0,0.0,1.0,13.0,300.0,0,0.0,0.0,0.0,0.0,0.0,13.0,300.0,7.777636709316006,12.0,0,0.0,0.0,0.0,0.0,0.0,56.0,1,1,86.0,86.0,0.0,1
training,-1,-1,-6,3.0,200712090oti,2,0.5,0.5833333333333334,0.5416666666666666,0.5,0.5,0.5416666666666666,0.75,0.6666666666666666,0.5833333333333334,0.5,0.5,0.5,1.0,2,0.0,0.5,0.3333333333333333,0.5833333333333334,0.5,0.3333333333333333,0.5833333333333334,0.5,0.3333333333333333,0.5833333333333334,0.5,0.3333333333333333,0.5833333333333334,-6,40.0,2.0,110,0.0,1.0,41.0,40.0,-130,0.5,0.5,0.5,0.5,1.0,0.0,-6.6,3.0,-11.5,0.4916666666666667,24.0,-10.4,-3.9,28.0,-2.8,18.5,10.0,-4.8,0.5833333333333334,13.0,5.4,6.2,3.0,16.4,2.0,2007,0.5416666666666666,0.5416666666666666,0.4,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.4,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.4,0.5833333333333334,0.5,0.5,0.4,0.5,0.5833333333333334,0.5833333333333334,0.6,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6,0.5833333333333334,6.0,13.0,12.0,0.0,1.0,0.0,14.0,12.0,7.0,1,0.0,0.0,0.0,0.0,0.0,12.0,7.0,30.536061643430706,10.0,0,8.233557098848593,8.233557098848593,8.233557098848593,0.0,0.0,85.0,1,1,69.0,69.0,7.0,14
