Bin,Lost,Won
0,11.0,0.0
1,13.0,9.0
2,14.0,8.0
3,15.0,8.0
4,18.0,4.0
5,17.0,5.0
6,16.0,6.0
7,21.0,2.0
8,11.0,11.0
9,18.0,4.0
10,15.0,8.0
11,12.0,10.0
12,15.0,7.0
13,13.0,9.0
14,15.0,8.0
15,11.0,11.0
16,12.0,10.0
17,13.0,10.0
18,13.0,9.0
19,12.0,10.0
20,15.0,7.0
21,9.0,14.0
22,14.0,8.0
23,10.0,12.0
24,13.0,10.0
25,12.0,10.0
26,15.0,7.0
27,11.0,11.0
28,10.0,13.0
29,12.0,10.0
30,12.0,10.0
31,14.0,9.0
32,10.0,12.0
33,11.0,11.0
34,7.0,16.0
35,10.0,12.0
36,8.0,14.0
37,10.0,12.0
38,13.0,10.0
39,13.0,9.0
40,9.0,13.0
41,9.0,14.0
42,13.0,9.0
43,10.0,12.0
44,11.0,11.0
45,9.0,14.0
46,11.0,11.0
47,8.0,14.0
48,6.0,17.0
49,10.0,12.0
50,13.0,9.0
51,9.0,13.0
52,9.0,14.0
53,11.0,11.0
54,11.0,11.0
55,9.0,14.0
56,11.0,11.0
57,7.0,15.0
58,8.0,14.0
59,9.0,14.0
60,15.0,7.0
61,9.0,13.0
62,12.0,11.0
63,5.0,17.0
64,10.0,12.0
65,9.0,13.0
66,8.0,15.0
67,10.0,12.0
68,7.0,15.0
69,4.0,19.0
70,6.0,16.0
71,8.0,14.0
72,7.0,16.0
73,8.0,14.0
74,4.0,18.0
75,9.0,13.0
76,5.0,18.0
77,8.0,14.0
78,7.0,15.0
79,5.0,18.0
80,5.0,17.0
81,6.0,16.0
82,11.0,11.0
83,6.0,17.0
84,3.0,19.0
85,10.0,12.0
86,6.0,17.0
87,1.0,21.0
88,8.0,14.0
89,4.0,18.0
90,5.0,18.0
91,5.0,17.0
92,2.0,20.0
93,6.0,17.0
94,3.0,19.0
95,6.0,16.0
96,4.0,18.0
97,4.0,19.0
98,4.0,18.0
99,2.0,20.0
100,0.0,12.0
